epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8998,1.37708,1.65268,0.9654,0.39297,0.29716,0.20821,0.09355,1.7085,5.52792,0.93182,0.000405702,0.000405702,0.000405702
2,43.7283,1.29233,0.93358,0.91482,0.39909,0.36646,0.32539,0.17563,1.42481,1.50882,0.90493,0.000808799,0.000808799,0.000808799
3,66.0322,1.33097,0.94188,0.92278,0.48391,0.43876,0.4145,0.21517,1.391,1.05683,0.92822,0.00119815,0.00119815,0.00119815
4,87.5572,1.32701,0.90019,0.93361,0.48304,0.53713,0.52628,0.27047,1.48523,1.14409,0.93188,0.00118812,0.00118812,0.00118812
5,108.962,1.22349,0.79312,0.92041,0.71453,0.6594,0.67537,0.34151,1.46963,0.95512,0.89551,0.0011675,0.0011675,0.0011675
6,130.312,1.1792,0.69803,0.89622,0.83789,0.59314,0.67923,0.36358,1.29908,0.77952,0.87358,0.00114688,0.00114688,0.00114688
7,152.077,1.24113,0.75254,0.90221,0.69248,0.69024,0.64335,0.33597,1.44324,0.95569,0.8856,0.00112625,0.00112625,0.00112625
8,172.87,1.18477,0.6781,0.88737,0.7189,0.62371,0.67188,0.30985,1.59118,0.90162,0.90093,0.00110563,0.00110563,0.00110563
9,193.752,1.13863,0.62648,0.87974,0.72179,0.69055,0.68457,0.37449,1.3102,0.73736,0.87346,0.001085,0.001085,0.001085
10,215.293,1.1361,0.60956,0.87451,0.81441,0.71061,0.75226,0.42302,1.27876,0.68091,0.86312,0.00106437,0.00106437,0.00106437
11,237.399,1.21771,0.62041,0.88959,0.81383,0.70392,0.77751,0.39899,1.46875,0.70888,0.88848,0.00104375,0.00104375,0.00104375
12,258.337,1.20845,0.62216,0.88644,0.8559,0.6946,0.76313,0.37815,1.64014,0.7367,0.89929,0.00102312,0.00102312,0.00102312
13,279.165,1.13855,0.58433,0.88662,0.85133,0.74603,0.78514,0.42003,1.31502,0.66584,0.87465,0.0010025,0.0010025,0.0010025
14,299.968,1.1132,0.56847,0.87583,0.78837,0.6983,0.74872,0.43627,1.18793,0.62074,0.85503,0.000981875,0.000981875,0.000981875
15,321.169,1.16298,0.58783,0.8866,0.82069,0.7392,0.76448,0.43467,1.29619,0.6121,0.85795,0.00096125,0.00096125,0.00096125
16,341.984,1.15223,0.56303,0.88306,0.82592,0.73469,0.7716,0.4233,1.40483,0.66586,0.87788,0.000940625,0.000940625,0.000940625
17,362.933,1.12231,0.56391,0.87034,0.88002,0.70993,0.79073,0.47782,1.18085,0.58188,0.85764,0.00092,0.00092,0.00092
18,384.212,1.12175,0.54957,0.87034,0.96928,0.70443,0.80188,0.50084,1.11844,0.56162,0.85052,0.000899375,0.000899375,0.000899375
19,405.434,1.16799,0.58049,0.87553,0.81691,0.714,0.73833,0.37774,1.55477,0.68622,0.88826,0.00087875,0.00087875,0.00087875
20,426.675,1.11669,0.6236,0.86945,0.8324,0.66504,0.7262,0.39787,1.3919,0.72646,0.87033,0.000858125,0.000858125,0.000858125
21,447.466,1.08402,0.58907,0.86469,0.7802,0.73868,0.75723,0.4097,1.41855,0.67765,0.86236,0.0008375,0.0008375,0.0008375
22,468.243,1.0753,0.5432,0.86033,0.83466,0.75544,0.77181,0.46778,1.11212,0.56785,0.84288,0.000816875,0.000816875,0.000816875
23,488.91,1.08653,0.54139,0.86987,0.898,0.67782,0.78678,0.46035,1.23821,0.61656,0.85697,0.00079625,0.00079625,0.00079625
24,509.651,1.06562,0.52429,0.85877,0.89598,0.72992,0.80877,0.45763,1.36189,0.59229,0.86088,0.000775625,0.000775625,0.000775625
25,530.387,1.02356,0.51337,0.85725,0.87474,0.74272,0.7902,0.43536,1.35634,0.59269,0.86225,0.000755,0.000755,0.000755
26,551.131,1.02804,0.51216,0.8571,0.92627,0.74738,0.79013,0.4146,1.48874,0.6315,0.88154,0.000734375,0.000734375,0.000734375
27,571.855,1.06217,0.51799,0.86214,0.82618,0.75594,0.7582,0.41162,1.46795,0.63964,0.86867,0.00071375,0.00071375,0.00071375
28,592.586,1.0531,0.51445,0.86001,0.88683,0.72212,0.79223,0.44948,1.31103,0.59801,0.85933,0.000693125,0.000693125,0.000693125
29,613.299,1.06537,0.52668,0.86028,0.80762,0.78083,0.80365,0.49446,1.10288,0.56909,0.84756,0.0006725,0.0006725,0.0006725
30,634.115,1.05301,0.50702,0.85949,0.85783,0.75328,0.80028,0.47153,1.22727,0.57114,0.85969,0.000651875,0.000651875,0.000651875
31,654.963,1.01431,0.50381,0.85319,0.91091,0.75203,0.81262,0.45465,1.29332,0.57119,0.85711,0.00063125,0.00063125,0.00063125
32,676.171,1.03163,0.48891,0.85332,0.88582,0.79114,0.82716,0.49396,1.23504,0.60699,0.85063,0.000610625,0.000610625,0.000610625
33,697.679,1.03638,0.4995,0.84946,0.89303,0.76264,0.81436,0.49775,1.19664,0.54652,0.8485,0.00059,0.00059,0.00059
34,718.866,1.02017,0.48703,0.84904,0.887,0.76272,0.82257,0.47058,1.33186,0.58666,0.86176,0.000569375,0.000569375,0.000569375
35,739.714,1.01167,0.48303,0.84753,0.8513,0.76537,0.80896,0.46739,1.24272,0.59776,0.85415,0.00054875,0.00054875,0.00054875
36,760.792,1.01595,0.48288,0.84944,0.8295,0.78341,0.82135,0.48638,1.25175,0.58503,0.86453,0.000528125,0.000528125,0.000528125
37,782.023,1.02067,0.47329,0.85283,0.91193,0.75627,0.82075,0.47733,1.32503,0.5672,0.86013,0.0005075,0.0005075,0.0005075
38,803.092,1.00723,0.47235,0.84655,0.84722,0.77223,0.80899,0.47976,1.13436,0.53494,0.85303,0.000486875,0.000486875,0.000486875
39,824.044,0.98851,0.45953,0.84739,0.84581,0.76268,0.82125,0.48379,1.1921,0.54023,0.85899,0.00046625,0.00046625,0.00046625
40,845.3,0.98649,0.45885,0.84392,0.91899,0.7647,0.81474,0.50276,1.15142,0.52877,0.85004,0.000445625,0.000445625,0.000445625
41,866.971,0.96032,0.4495,0.84541,0.90636,0.74919,0.81508,0.4908,1.15608,0.54503,0.84644,0.000425,0.000425,0.000425
42,887.88,1.00546,0.46027,0.84696,0.85575,0.76905,0.80938,0.50038,1.1876,0.53656,0.84473,0.000404375,0.000404375,0.000404375
43,908.687,0.97568,0.45754,0.84731,0.82484,0.74576,0.80081,0.49534,1.18032,0.55776,0.84694,0.00038375,0.00038375,0.00038375
44,929.502,0.98384,0.45088,0.84388,0.91809,0.70207,0.8072,0.4855,1.19282,0.54066,0.84423,0.000363125,0.000363125,0.000363125
45,950.244,0.97877,0.44349,0.84421,0.86563,0.7422,0.81406,0.51361,1.03066,0.50823,0.83371,0.0003425,0.0003425,0.0003425
46,971.5,0.98093,0.44912,0.8414,0.83508,0.73179,0.79282,0.47896,1.12829,0.54037,0.84116,0.000321875,0.000321875,0.000321875
47,992.543,0.93995,0.43325,0.84015,0.88028,0.77778,0.81731,0.51411,1.05181,0.49277,0.8357,0.00030125,0.00030125,0.00030125
48,1014.01,0.95473,0.4348,0.83992,0.91993,0.76231,0.82027,0.51432,1.1043,0.5129,0.83735,0.000280625,0.000280625,0.000280625
49,1035.35,0.94232,0.43095,0.83425,0.8153,0.77504,0.8161,0.51222,1.05751,0.50347,0.83524,0.00026,0.00026,0.00026
50,1056.26,0.9506,0.42805,0.84342,0.83981,0.70928,0.77934,0.50213,0.99858,0.51023,0.83275,0.000239375,0.000239375,0.000239375
51,1086.68,0.96285,0.43107,0.83925,0.79149,0.66681,0.75157,0.4847,1.03648,0.53533,0.83822,0.00021875,0.00021875,0.00021875
52,1107.53,0.96342,0.42561,0.83834,0.87991,0.7356,0.80226,0.49732,1.05764,0.51989,0.83362,0.000198125,0.000198125,0.000198125
53,1128.75,0.96041,0.425,0.83917,0.86125,0.78172,0.80851,0.51001,1.09869,0.51061,0.84076,0.0001775,0.0001775,0.0001775
54,1149.8,0.94426,0.42419,0.83658,0.85819,0.77419,0.80032,0.51169,1.03857,0.48053,0.83453,0.000156875,0.000156875,0.000156875
55,1170.86,0.91384,0.41421,0.83434,0.86588,0.76529,0.81308,0.52683,1.00462,0.46635,0.8308,0.00013625,0.00013625,0.00013625
56,1192.24,0.91841,0.41278,0.83163,0.84074,0.79478,0.82275,0.53737,1.01252,0.46699,0.83196,0.000115625,0.000115625,0.000115625
57,1213.58,0.89161,0.40786,0.82772,0.92373,0.76835,0.82626,0.54848,0.97739,0.45362,0.82697,9.5e-05,9.5e-05,9.5e-05
58,1234.71,0.8922,0.40114,0.83562,0.91414,0.76503,0.82154,0.52484,1.03139,0.46465,0.82908,7.4375e-05,7.4375e-05,7.4375e-05
59,1255.5,0.88378,0.40093,0.82807,0.90231,0.76355,0.81978,0.53719,0.99634,0.45836,0.82873,5.375e-05,5.375e-05,5.375e-05
60,1276.3,0.90018,0.40239,0.83215,0.9065,0.76381,0.81921,0.53536,0.98657,0.45886,0.82781,3.3125e-05,3.3125e-05,3.3125e-05
